Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:45:39 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:40 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:41 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:42 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:43 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:44 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:45 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:46 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:47 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:48 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:49 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:50 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:51 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:52 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:53 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:54 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:55 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:56 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:57 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:58 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:45:59 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:00 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:01 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:02 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:03 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:04 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:05 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:06 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:07 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:08 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:09 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:10 BST 2011,0,ACTIVE,Maria Sharapova,2.48,99.03,2.5,104.74,12189.9,2.48,
Sat Apr 02 09:46:11 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:12 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:13 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:14 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:15 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:16 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:17 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:18 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:19 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:20 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:21 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:22 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:23 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:24 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:25 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:26 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:27 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:28 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:46:29 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
