Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1301762342285,Sat Apr 02 17:39:02 BST 2011,5,ACTIVE,Victoria Azarenka,1.66,264.88,1.7,701.03,456150.12,1.69,
1301762349285,Sat Apr 02 17:39:09 BST 2011,5,ACTIVE,Victoria Azarenka,1.66,264.88,1.69,116.21,456150.12,1.69,
1301762350285,Sat Apr 02 17:39:10 BST 2011,5,ACTIVE,Victoria Azarenka,1.66,264.88,1.68,286.6,456180.16,1.68,
1301762353285,Sat Apr 02 17:39:13 BST 2011,5,ACTIVE,Victoria Azarenka,1.66,264.88,1.69,156.21,456842.9,1.67,
1301762354285,Sat Apr 02 17:39:14 BST 2011,5,ACTIVE,Victoria Azarenka,1.66,264.88,1.69,116.21,456842.9,1.67,
1301762357285,Sat Apr 02 17:39:17 BST 2011,5,ACTIVE,Victoria Azarenka,1.74,163.64,1.75,3.12,459372.62,1.74,
1301762360285,Sat Apr 02 17:39:20 BST 2011,5,ACTIVE,Victoria Azarenka,1.7,2858.02,1.75,3.12,459512.84,1.74,
1301762361285,Sat Apr 02 17:39:21 BST 2011,5,ACTIVE,Victoria Azarenka,1.7,2858.02,1.75,3.12,459512.84,1.74,
1301762362285,Sat Apr 02 17:39:22 BST 2011,5,ACTIVE,Victoria Azarenka,1.7,2858.02,1.75,3.12,459512.84,1.74,
1301762363285,Sat Apr 02 17:39:23 BST 2011,5,ACTIVE,Victoria Azarenka,1.71,2858.02,1.75,3.12,459512.84,1.74,
1301762364285,Sat Apr 02 17:39:24 BST 2011,5,ACTIVE,Victoria Azarenka,1.71,2641.44,1.75,3.12,459946.0,1.71,
1301762365285,Sat Apr 02 17:39:25 BST 2011,5,ACTIVE,Victoria Azarenka,1.71,2641.44,1.76,2.9,459949.1,1.75,
1301762366285,Sat Apr 02 17:39:26 BST 2011,5,ACTIVE,Victoria Azarenka,1.71,2573.44,1.76,2.9,460085.1,1.71,
1301762369285,Sat Apr 02 17:39:29 BST 2011,5,ACTIVE,Victoria Azarenka,1.71,2573.44,1.76,2.9,460085.1,1.71,
1301762370285,Sat Apr 02 17:39:30 BST 2011,5,ACTIVE,Victoria Azarenka,1.72,225.81,1.74,62.36,460085.1,1.71,
1301762372285,Sat Apr 02 17:39:32 BST 2011,5,ACTIVE,Victoria Azarenka,1.72,225.81,1.73,234.81,460340.3,1.73,
1301762375285,Sat Apr 02 17:39:35 BST 2011,5,ACTIVE,Victoria Azarenka,1.72,225.81,1.73,119.78,460546.28,1.73,
1301762376285,Sat Apr 02 17:39:36 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2087.52,1.74,4968.18,460877.72,1.74,
1301762377285,Sat Apr 02 17:39:37 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2087.52,1.74,4697.46,461254.38,1.74,
1301762378285,Sat Apr 02 17:39:38 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2082.53,1.74,4319.15,462422.0,1.74,
1301762380285,Sat Apr 02 17:39:40 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2147.1,1.74,4314.76,462497.25,1.74,
1301762381285,Sat Apr 02 17:39:41 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2147.1,1.74,4065.4,462746.6,1.74,
1301762382285,Sat Apr 02 17:39:42 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2139.61,1.74,4065.4,462761.56,1.73,
1301762383285,Sat Apr 02 17:39:43 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,2139.61,1.74,1246.75,467805.2,1.74,
1301762385285,Sat Apr 02 17:39:45 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,1698.15,1.76,223.63,468688.1,1.73,
1301762386285,Sat Apr 02 17:39:46 BST 2011,5,ACTIVE,Victoria Azarenka,1.73,1698.15,1.76,2.9,468688.1,1.73,
1301762387285,Sat Apr 02 17:39:47 BST 2011,5,ACTIVE,Victoria Azarenka,1.75,22.36,1.76,2.9,468768.1,1.75,
1301762388285,Sat Apr 02 17:39:48 BST 2011,5,ACTIVE,Victoria Azarenka,1.75,22.36,1.76,2.9,468768.1,1.75,
1301762390285,Sat Apr 02 17:39:50 BST 2011,5,ACTIVE,Victoria Azarenka,1.75,22.36,1.76,14.74,468768.1,1.75,
1301762391285,Sat Apr 02 17:39:51 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2576.4,1.79,2.83,469064.5,1.77,
1301762392285,Sat Apr 02 17:39:52 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2576.4,1.79,2.83,469064.5,1.77,
1301762393285,Sat Apr 02 17:39:53 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2576.4,1.81,19.61,469234.28,1.8,
1301762394285,Sat Apr 02 17:39:54 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2576.4,1.81,19.61,469234.28,1.8,
1301762396285,Sat Apr 02 17:39:56 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2488.11,1.81,19.61,469410.84,1.77,
1301762397285,Sat Apr 02 17:39:57 BST 2011,5,ACTIVE,Victoria Azarenka,1.78,1296.78,1.81,19.61,469410.84,1.77,
1301762398285,Sat Apr 02 17:39:58 BST 2011,5,ACTIVE,Victoria Azarenka,1.78,1964.06,1.81,19.61,469410.84,1.77,
1301762400285,Sat Apr 02 17:40:00 BST 2011,5,ACTIVE,Victoria Azarenka,1.78,1081.13,1.81,19.61,471176.7,1.78,
1301762401285,Sat Apr 02 17:40:01 BST 2011,5,ACTIVE,Victoria Azarenka,1.78,1063.47,1.81,19.61,471212.0,1.78,
1301762402285,Sat Apr 02 17:40:02 BST 2011,5,ACTIVE,Victoria Azarenka,1.78,1063.47,1.8,4904.64,471212.0,1.78,
1301762403285,Sat Apr 02 17:40:03 BST 2011,5,ACTIVE,Victoria Azarenka,1.79,881.15,1.8,4904.64,471215.53,1.79,
1301762404285,Sat Apr 02 17:40:04 BST 2011,5,ACTIVE,Victoria Azarenka,1.79,704.57,1.8,4904.64,471833.56,1.79,
1301762405285,Sat Apr 02 17:40:05 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2119.06,1.8,4904.64,476194.66,1.77,
1301762406285,Sat Apr 02 17:40:06 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2114.07,1.8,4904.64,476429.66,1.79,
1301762408285,Sat Apr 02 17:40:08 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,2114.07,1.8,4904.64,476429.66,1.79,
1301762409285,Sat Apr 02 17:40:09 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.79,19.69,476626.06,1.79,
1301762410285,Sat Apr 02 17:40:10 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.8,4904.64,476645.75,1.79,
1301762411285,Sat Apr 02 17:40:11 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.8,4904.64,476645.75,1.79,
1301762412285,Sat Apr 02 17:40:12 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.79,365.39,476719.38,1.79,
1301762413285,Sat Apr 02 17:40:13 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.79,2737.51,477262.94,1.78,
1301762414285,Sat Apr 02 17:40:14 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.79,2735.28,477265.16,1.79,
1301762415285,Sat Apr 02 17:40:15 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,125.0,1.79,2735.28,477265.16,1.79,
1301762416285,Sat Apr 02 17:40:16 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,125.0,1.79,2418.05,477582.4,1.79,
1301762417285,Sat Apr 02 17:40:17 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2418.05,477582.4,1.79,
1301762418285,Sat Apr 02 17:40:18 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2373.46,477627.0,1.79,
1301762419285,Sat Apr 02 17:40:19 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2373.46,477627.0,1.79,
1301762420285,Sat Apr 02 17:40:20 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2375.46,477627.0,1.79,
1301762421285,Sat Apr 02 17:40:21 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2287.17,477803.56,1.79,
1301762423285,Sat Apr 02 17:40:23 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,478.17,1.79,2287.17,478024.3,1.78,
1301762424285,Sat Apr 02 17:40:24 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,217.42,1.79,2287.17,478764.94,1.77,
1301762425285,Sat Apr 02 17:40:25 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,217.42,1.79,2057.06,478995.06,1.79,
1301762427285,Sat Apr 02 17:40:27 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,217.42,1.78,4.41,479020.03,1.79,
1301762428285,Sat Apr 02 17:40:28 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,120.29,1.78,4.41,479214.28,1.77,
1301762430285,Sat Apr 02 17:40:30 BST 2011,5,ACTIVE,Victoria Azarenka,1.77,120.29,1.79,2032.09,479218.7,1.78,
1301762432285,Sat Apr 02 17:40:32 BST 2011,5,ACTIVE,Victoria Azarenka,1.76,22.36,1.78,50.0,479284.7,1.79,
