Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306578393650,Sat May 28 11:26:33 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,6.93,1.5,4.61,179518.6,1.43,
1306578413650,Sat May 28 11:26:53 BST 2011,5,ACTIVE,A Murray 3 - 0,1.35,559.02,1.41,26.0,179518.6,1.43,
1306578417650,Sat May 28 11:26:57 BST 2011,5,ACTIVE,A Murray 3 - 0,1.35,559.02,1.41,34.66,179518.6,1.43,
1306578418650,Sat May 28 11:26:58 BST 2011,5,ACTIVE,A Murray 3 - 0,1.2,6.93,1.41,34.66,179518.6,1.43,
1306578419650,Sat May 28 11:26:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,986.0,1.41,34.66,179518.6,1.43,
1306578423650,Sat May 28 11:27:03 BST 2011,5,ACTIVE,A Murray 3 - 0,1.33,559.02,1.41,34.66,179518.6,1.43,
1306578430650,Sat May 28 11:27:10 BST 2011,5,ACTIVE,A Murray 3 - 0,1.33,524.9,1.41,34.66,179586.81,1.33,
1306578451650,Sat May 28 11:27:31 BST 2011,5,ACTIVE,A Murray 3 - 0,1.35,300.0,1.41,34.66,179586.81,1.33,
1306578463650,Sat May 28 11:27:43 BST 2011,5,ACTIVE,A Murray 3 - 0,1.36,86.67,1.41,34.66,179586.81,1.33,
1306578470650,Sat May 28 11:27:50 BST 2011,5,ACTIVE,A Murray 3 - 0,1.36,86.67,1.41,34.66,179586.81,1.33,
1306578478650,Sat May 28 11:27:58 BST 2011,5,ACTIVE,A Murray 3 - 0,1.38,50.0,1.41,34.66,179586.81,1.33,
1306578482650,Sat May 28 11:28:02 BST 2011,5,ACTIVE,A Murray 3 - 0,1.41,390.83,1.5,4.61,179656.16,1.41,
1306578486650,Sat May 28 11:28:06 BST 2011,5,ACTIVE,A Murray 3 - 0,1.41,574.57,1.5,4.61,179656.16,1.41,
1306578490650,Sat May 28 11:28:10 BST 2011,5,ACTIVE,A Murray 3 - 0,1.41,390.83,1.5,4.61,179656.16,1.41,
1306578492650,Sat May 28 11:28:12 BST 2011,5,ACTIVE,A Murray 3 - 0,1.38,50.0,1.5,4.61,179656.16,1.41,
1306578501650,Sat May 28 11:28:21 BST 2011,5,ACTIVE,A Murray 3 - 0,1.43,183.74,1.5,4.61,179656.16,1.41,
1306578506650,Sat May 28 11:28:26 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,50.0,1.5,4.61,179656.16,1.41,
1306578507650,Sat May 28 11:28:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,50.0,1.5,4.61,179656.16,1.41,
1306578510650,Sat May 28 11:28:30 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,50.0,1.5,4.61,179656.16,1.41,
1306578514650,Sat May 28 11:28:34 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,50.0,1.5,4.61,179656.16,1.41,
1306578534650,Sat May 28 11:28:54 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,40.0,1.5,4.61,179676.16,1.45,
1306578536650,Sat May 28 11:28:56 BST 2011,5,ACTIVE,A Murray 3 - 0,1.41,183.74,1.45,10.0,179756.16,1.45,
1306578545650,Sat May 28 11:29:05 BST 2011,5,ACTIVE,A Murray 3 - 0,1.41,183.74,1.45,13.0,179756.16,1.45,
