Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 17:39:02 BST 2011,5,ACTIVE,Maria Sharapova,2.42,24.72,2.48,635.29,116010.65,2.44,
Sat Apr 02 17:39:05 BST 2011,5,ACTIVE,Maria Sharapova,2.42,24.72,2.48,635.29,116010.65,2.44,
Sat Apr 02 17:39:09 BST 2011,5,ACTIVE,Maria Sharapova,2.42,7.06,2.48,635.29,116045.97,2.42,
Sat Apr 02 17:39:13 BST 2011,5,ACTIVE,Maria Sharapova,2.46,88.29,2.48,525.42,116255.84,2.48,
Sat Apr 02 17:39:14 BST 2011,5,ACTIVE,Maria Sharapova,2.46,85.02,2.48,525.42,116262.36,2.46,
Sat Apr 02 17:39:17 BST 2011,5,ACTIVE,Maria Sharapova,2.3,219.0,2.42,50.0,116753.28,2.36,
Sat Apr 02 17:39:20 BST 2011,5,ACTIVE,Maria Sharapova,2.3,219.0,2.42,67.65,116856.64,2.36,
Sat Apr 02 17:39:22 BST 2011,5,ACTIVE,Maria Sharapova,2.3,219.0,2.42,67.65,116856.64,2.36,
Sat Apr 02 17:39:24 BST 2011,5,ACTIVE,Maria Sharapova,2.3,219.0,2.42,17.65,116856.64,2.36,
Sat Apr 02 17:39:25 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.65,116886.28,2.3,
Sat Apr 02 17:39:26 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.65,116886.28,2.3,
Sat Apr 02 17:39:27 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.4,44.14,116886.28,2.3,
Sat Apr 02 17:39:32 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.4,44.14,117073.36,2.36,
Sat Apr 02 17:39:33 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.4,44.14,117073.36,2.36,
Sat Apr 02 17:39:35 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.4,44.14,117091.02,2.36,
Sat Apr 02 17:39:36 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.4,44.14,117099.85,2.34,
Sat Apr 02 17:39:37 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.88,117222.36,2.34,
Sat Apr 02 17:39:38 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.88,117372.36,2.34,
Sat Apr 02 17:39:40 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.88,117375.62,2.34,
Sat Apr 02 17:39:41 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.88,117561.03,2.34,
Sat Apr 02 17:39:43 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.42,17.88,118002.49,2.34,
Sat Apr 02 17:39:46 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.34,21.45,118002.49,2.34,
Sat Apr 02 17:39:48 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.34,21.45,118002.49,2.34,
Sat Apr 02 17:39:50 BST 2011,5,ACTIVE,Maria Sharapova,2.3,205.37,2.34,21.45,118002.49,2.34,
Sat Apr 02 17:39:51 BST 2011,5,ACTIVE,Maria Sharapova,2.28,14.69,2.3,66.0,118207.86,2.3,
Sat Apr 02 17:39:52 BST 2011,5,ACTIVE,Maria Sharapova,2.28,14.69,2.3,66.0,118207.86,2.3,
Sat Apr 02 17:39:53 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.3,66.0,118283.4,2.26,
Sat Apr 02 17:39:55 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.34,23.21,118283.4,2.26,
Sat Apr 02 17:39:59 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.28,44.14,118283.4,2.26,
Sat Apr 02 17:40:01 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.28,64.72,118283.4,2.26,
Sat Apr 02 17:40:02 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.28,64.72,118283.4,2.26,
Sat Apr 02 17:40:04 BST 2011,5,ACTIVE,Maria Sharapova,2.26,122.22,2.28,64.72,118283.4,2.26,
