Tennis Collector Swedish Open 2011 Second Round Matches Wozniacki v Arvidsson 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,Total matched,LPM
1309966354991,Wed Jul 06 16:32:34 BST 2011,5,ACTIVE,Wozniacki 2 - 1,582.72,7.8,
1309966379991,Wed Jul 06 16:32:59 BST 2011,5,ACTIVE,Wozniacki 2 - 1,582.72,7.8,
1309966395991,Wed Jul 06 16:33:15 BST 2011,5,ACTIVE,Wozniacki 2 - 1,582.72,7.8,
1309966403991,Wed Jul 06 16:33:23 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966410991,Wed Jul 06 16:33:30 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966457991,Wed Jul 06 16:34:17 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966481991,Wed Jul 06 16:34:41 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966503991,Wed Jul 06 16:35:03 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966613991,Wed Jul 06 16:36:53 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966616991,Wed Jul 06 16:36:56 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966622991,Wed Jul 06 16:37:02 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966716991,Wed Jul 06 16:38:36 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966794991,Wed Jul 06 16:39:54 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966806991,Wed Jul 06 16:40:06 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966891991,Wed Jul 06 16:41:31 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966914991,Wed Jul 06 16:41:54 BST 2011,5,ACTIVE,Wozniacki 2 - 1,641.8,7.2,
1309966928991,Wed Jul 06 16:42:08 BST 2011,5,ACTIVE,Wozniacki 2 - 1,653.86,5.4,
1309966962991,Wed Jul 06 16:42:42 BST 2011,5,ACTIVE,Wozniacki 2 - 1,653.86,5.4,
1309966969991,Wed Jul 06 16:42:49 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967008991,Wed Jul 06 16:43:28 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967019991,Wed Jul 06 16:43:39 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967082991,Wed Jul 06 16:44:42 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967088991,Wed Jul 06 16:44:48 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967126991,Wed Jul 06 16:45:26 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967209991,Wed Jul 06 16:46:49 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967336991,Wed Jul 06 16:48:56 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967360991,Wed Jul 06 16:49:20 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967369991,Wed Jul 06 16:49:29 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967374991,Wed Jul 06 16:49:34 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967471991,Wed Jul 06 16:51:11 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967653991,Wed Jul 06 16:54:13 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967658991,Wed Jul 06 16:54:18 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967704991,Wed Jul 06 16:55:04 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967718991,Wed Jul 06 16:55:18 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967773991,Wed Jul 06 16:56:13 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967860991,Wed Jul 06 16:57:40 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309967866991,Wed Jul 06 16:57:46 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968058991,Wed Jul 06 17:00:58 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968063991,Wed Jul 06 17:01:03 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968231991,Wed Jul 06 17:03:51 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968236991,Wed Jul 06 17:03:56 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968279991,Wed Jul 06 17:04:39 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968285991,Wed Jul 06 17:04:45 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968338991,Wed Jul 06 17:05:38 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968343991,Wed Jul 06 17:05:43 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968364991,Wed Jul 06 17:06:04 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968500991,Wed Jul 06 17:08:20 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968671991,Wed Jul 06 17:11:11 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968846991,Wed Jul 06 17:14:06 BST 2011,5,ACTIVE,Wozniacki 2 - 1,662.82,5.4,
1309968938991,Wed Jul 06 17:15:38 BST 2011,5,ACTIVE,Wozniacki 2 - 1,663.13,900.0,
1309968998991,Wed Jul 06 17:16:38 BST 2011,5,ACTIVE,Wozniacki 2 - 1,663.13,900.0,
1309969180991,Wed Jul 06 17:19:40 BST 2011,5,SUSPENDED,Wozniacki 2 - 1,-1,-1,
